Time,Acc_XL,Acc_YL,Acc_ZL,Abs_left,VelInc_XL,VelInc_YL,VelInc_ZL,Velmag_L,Acc_XR,Acc_YR,Acc_ZR,Abs_Right,VelInc_XR,VelInc_YR,VelInc_ZR,Velmag_R
0.3625,9.731198,-0.074767,1.690527,9.877230693,0.097316,-0.000743,0.016883,0.098772423,10.975231,-0.335093,0.219914,10.98254729,0.109763,-0.00318,0.001903,0.109825543
0.375,9.692018,0.011062,1.728346,9.84492332,0.096924,0.000116,0.017261,0.09844906,10.056383,-0.261383,-0.273444,10.06349501,0.10056,-0.002478,-0.00299,0.100634955
0.3875,9.660396,-0.058867,1.714341,9.811507594,0.096608,-0.000579,0.017123,0.098115432,9.88578,0.233312,-0.639739,9.909205149,0.098839,0.002443,-0.006645,0.099092241
0.4,9.561942,-0.093272,1.745237,9.720354246,0.095623,-0.000927,0.01743,0.097202996,9.767535,0.589423,-1.099704,9.84690349,0.097641,0.006009,-0.01124,0.098469338
0.4125,9.565011,-0.008907,1.779391,9.729118516,0.095653,-0.000078,0.017778,0.097291108,9.569184,0.791267,-1.271453,9.685658399,0.09565,0.00806,-0.012931,0.096856063
0.425,9.5713,-0.200741,1.730417,9.728536562,0.095716,-0.001998,0.017291,0.097285782,9.463391,0.975465,-1.463287,9.625409603,0.094585,0.009943,-0.014818,0.096253616
0.4375,9.547515,-0.098117,1.775367,9.711673265,0.095478,-0.000979,0.017741,0.097117197,9.489562,1.269546,-1.450227,9.683320316,0.094843,0.012921,-0.014648,0.096833418
0.45,9.680153,-0.204303,1.687481,9.828259965,0.096803,-0.00204,0.016867,0.098282644,9.455706,1.830753,-1.54496,9.754431501,0.09449,0.018554,-0.015563,0.097543928
0.4625,9.65922,-0.169573,1.79114,9.825348264,0.096594,-0.001703,0.017898,0.098252936,9.164314,2.344366,-1.667622,9.605293653,0.091565,0.023687,-0.01676,0.096052698
0.475,9.668882,-0.098851,1.712814,9.81991764,0.09669,-0.000995,0.017123,0.098199507,8.946002,2.695927,-1.841115,9.52306036,0.089377,0.027193,-0.018473,0.095231083
